127.0.0.1 - - [30/Oct/2017:16:52:38 +0100] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [30/Oct/2017:16:52:39 +0100] "GET /Labo_1/ HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [30/Oct/2017:16:52:39 +0100] "GET /Labo_1/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Oct/2017:16:52:39 +0100] "GET /Labo_1/images/banner.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Oct/2017:16:52:39 +0100] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [30/Oct/2017:16:52:44 +0100] "GET /Labo_1/Controller?action=overview HTTP/1.1" 200 1270
0:0:0:0:0:0:0:1 - - [30/Oct/2017:16:52:48 +0100] "GET /Labo_1/Controller?action=productOverview HTTP/1.1" 200 1343
0:0:0:0:0:0:0:1 - - [30/Oct/2017:16:52:51 +0100] "GET /Labo_1/Controller?action=addProduct HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [30/Oct/2017:16:53:00 +0100] "POST /Labo_1/Controller?action=addProductToDB HTTP/1.1" 200 1343
0:0:0:0:0:0:0:1 - - [30/Oct/2017:16:58:51 +0100] "GET /Labo_1/Controller?action=overview HTTP/1.1" 200 1270
0:0:0:0:0:0:0:1 - - [30/Oct/2017:16:58:53 +0100] "GET /Labo_1/Controller?action=productOverview HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [30/Oct/2017:16:58:54 +0100] "GET /Labo_1/Controller?action=addProduct HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [30/Oct/2017:16:59:02 +0100] "POST /Labo_1/Controller?action=addProductToDB HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [30/Oct/2017:17:00:09 +0100] "GET /Labo_1/Controller?action=overview HTTP/1.1" 200 1270
0:0:0:0:0:0:0:1 - - [30/Oct/2017:17:00:13 +0100] "GET /Labo_1/Controller?action=signUp HTTP/1.1" 200 1612
0:0:0:0:0:0:0:1 - - [30/Oct/2017:17:00:28 +0100] "POST /Labo_1/Controller?action=voegToe HTTP/1.1" 200 1173
0:0:0:0:0:0:0:1 - - [30/Oct/2017:17:00:30 +0100] "GET /Labo_1/Controller?action=overview HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [30/Oct/2017:17:01:29 +0100] "GET /Labo_1/Controller?action=productOverview HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [30/Oct/2017:17:01:31 +0100] "GET /Labo_1/Controller?action=addProduct HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [30/Oct/2017:17:01:48 +0100] "POST /Labo_1/Controller?action=addProductToDB HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [30/Oct/2017:17:03:14 +0100] "GET /Labo_1/Controller?action=addProduct HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [30/Oct/2017:17:03:33 +0100] "POST /Labo_1/Controller?action=addProductToDB HTTP/1.1" 200 1111
0:0:0:0:0:0:0:1 - - [30/Oct/2017:17:05:01 +0100] "GET /Labo_1/Controller?action=updateProduct&id=222 HTTP/1.1" 200 1691
0:0:0:0:0:0:0:1 - - [30/Oct/2017:17:05:18 +0100] "POST /Labo_1/Controller?action=addProductToDB HTTP/1.1" 200 1111
0:0:0:0:0:0:0:1 - - [30/Oct/2017:17:05:18 +0100] "POST /Labo_1/Controller?action=addProductToDB HTTP/1.1" 200 1111
0:0:0:0:0:0:0:1 - - [30/Oct/2017:17:08:15 +0100] "GET /Labo_1/Controller?action=updateProduct&id=222 HTTP/1.1" 200 1691
0:0:0:0:0:0:0:1 - - [30/Oct/2017:17:08:18 +0100] "POST /Labo_1/Controller?action=addProductToDB HTTP/1.1" 200 1111
0:0:0:0:0:0:0:1 - - [30/Oct/2017:17:08:55 +0100] "GET /Labo_1/Controller?action=updateProduct&id=222 HTTP/1.1" 200 1691
0:0:0:0:0:0:0:1 - - [30/Oct/2017:17:08:59 +0100] "POST /Labo_1/Controller?action=addProductToDB HTTP/1.1" 200 1111
